scheduled_start,elap_time,node_name,status.results
2022-07-25 19:00:00,0 00:57:30,HPTTOR01,Completed,8
2022-07-25 19:00:00,0 00:30:03,P1HNADCWCMSFT01,Completed,0
2022-07-25 19:00:00,0 00:16:15,P1HNADCWCMSWB01,Completed,8
2022-07-25 19:00:00,0 00:16:32,P1HNADCWCMSDB01,Completed,8
2022-07-25 19:00:00,0 00:15:04,Q3HNADCWCMMDB01,Completed,8
2022-07-25 19:00:00,0 00:52:29,AHMPXWLBOAPP01,Completed,0
2022-07-25 19:00:00,0 00:56:17,AHMDXWLBOAPP01,Completed,0
2022-07-25 20:00:00,0 00:36:42,AHMPXWMBVWWEB01,Completed,0
2022-07-25 22:00:00,0 01:13:50,HNAPXWLBOSQL01,Completed,0
2022-07-25 22:00:00,0 00:51:44,P1HNADCWCMSCS01,Completed,8
2022-07-26 18:00:00,0 00:13:00,D3HNADCWCMMDB01,Completed,8
2022-07-26 18:30:00,0 01:13:06,HNAFTPPS01,Completed,0
2022-07-26 18:30:00,0 00:44:58,HNAPXWCMMAPP01,Completed,0
2022-07-26 18:30:00,0 00:54:15,HNAPXWCMMESS01,Completed,0
2022-07-26 18:30:00,0 01:00:57,HNAPXWCMMSQL01,Completed,0
2022-07-26 18:30:00,0 01:07:47,HNAPXWCMMSQL02,Completed,0
2022-07-26 18:30:00,0 00:47:18,HPTPXWEPIDB01,Completed,0
2022-07-26 18:30:00,0 00:15:54,P1HNADCWCMMDB01,Completed,8
2022-07-27 18:00:00,0 00:12:39,D3HNADCWCMMDB01,Completed,8
2022-07-27 18:30:00,0 01:08:10,HNAFTPPS01,Completed,0
2022-07-27 18:30:00,0 00:45:40,HNAPXWCMMAPP01,Completed,0
2022-07-27 18:30:00,0 00:54:45,HNAPXWCMMESS01,Completed,0
2022-07-27 18:30:00,0 01:30:41,HNAPXWCMMSQL01,Completed,0
2022-07-27 18:30:00,0 01:03:11,HNAPXWCMMSQL02,Completed,0
2022-07-27 18:30:00,0 00:46:46,HPTPXWEPIDB01,Completed,0
2022-07-27 18:30:00,0 00:14:26,P1HNADCWCMMDB01,Completed,8
2022-07-27 19:00:00,0 01:10:25,D3HNADCWCMSCS01,Completed,8
2022-07-27 19:00:00,0 00:22:38,D3HNADCWCMSDB01,Completed,8
2022-07-27 19:00:00,0 17:03:30,D3HNADCWCMSFT01,Completed,8
2022-07-27 19:00:00,0 00:24:48,D3HNADCWCMSWB01,Completed,8
2022-07-27 19:00:00,0 01:15:58,HNADXWCMMAPP01,Completed,0
2022-07-27 19:00:00,0 00:58:55,HNADXWCMMESS01,Completed,0
